flatNumber,firstName,lastName,email,phone,leaseStartDate,leaseEndDate,isPrimaryTenant
G001,John,Doe,john.doe@gmail.com,1234567890,2023-12-01,2024-12-01,true
G002,Jane,Doe,jane.doe@gmail.com,1234567890,2023-12-01,2024-12-01,true
G003,Emily,Smith,emily.smith@gmail.com,1234567890,2023-12-01,2024-12-01,true
G004,Michael,Brown,michael.brown@gmail.com,1234567890,2023-12-01,2024-12-01,true
G005,Sarah,Johnson,sarah.johnson@gmail.com,1234567890,2023-12-01,2024-12-01,true
G006,David,Williams,david.williams@gmail.com,1234567890,2023-12-01,2024-12-01,true
G007,Linda,Jones,linda.jones@gmail.com,1234567890,2023-12-01,2024-12-01,true
G008,James,Miller,james.miller@gmail.com,1234567890,2023-12-01,2024-12-01,true
G009,Mary,Davis,mary.davis@gmail.com,1234567890,2023-12-01,2024-12-01,true
F101,Robert,Garcia,robert.garcia@gmail.com,1234567890,2023-12-01,2024-12-01,true
F102,Patricia,Martinez,patricia.martinez@gmail.com,1234567890,2023-12-01,2024-12-01,true
F103,Charles,Hernandez,charles.hernandez@gmail.com,1234567890,2023-12-01,2024-12-01,true
F104,Ashley,Lopez,ashley.lopez@gmail.com,1234567890,2023-12-01,2024-12-01,true
F105,Barbara,Gonzalez,barbara.gonzalez@gmail.com,1234567890,2023-12-01,2024-12-01,true
F106,Steven,Wilson,steven.wilson@gmail.com,1234567890,2023-12-01,2024-12-01,true
F107,Karen,Anderson,karen.anderson@gmail.com,1234567890,2023-12-01,2024-12-01,true
F108,Joseph,Thomas,joseph.thomas@gmail.com,1234567890,2023-12-01,2024-12-01,true
F109,Nancy,Taylor,nancy.taylor@gmail.com,1234567890,2023-12-01,2024-12-01,true
S201,Matthew,Moore,matthew.moore@gmail.com,1234567890,2023-12-01,2024-12-01,true
S202,Margaret,White,margaret.white@gmail.com,1234567890,2023-12-01,2024-12-01,true
S203,Mark,Lee,mark.lee@gmail.com,1234567890,2023-12-01,2024-12-01,true
S204,Deborah,Harris,deborah.harris@gmail.com,1234567890,2023-12-01,2024-12-01,true
S205,Joshua,Clark,joshua.clark@gmail.com,1234567890,2023-12-01,2024-12-01,true
S206,Betty,Lewis,betty.lewis@gmail.com,1234567890,2023-12-01,2024-12-01,true
S207,Samuel,Robinson,samuel.robinson@gmail.com,1234567890,2023-12-01,2024-12-01,true
S208,Donna,Walker,donna.walker@gmail.com,1234567890,2023-12-01,2024-12-01,true
S209,Andrew,Hall,andrew.hall@gmail.com,1234567890,2023-12-01,2024-12-01,true
T301,Ruth,Allen,ruth.allen@gmail.com,1234567890,2023-12-01,2024-12-01,true
T302,Jason,Young,jason.young@gmail.com,1234567890,2023-12-01,2024-12-01,true
T303,Brenda,Hernandez,brenda.hernandez@gmail.com,1234567890,2023-12-01,2024-12-01,true
T304,Aaron,King,aaron.king@gmail.com,1234567890,2023-12-01,2024-12-01,true
T305,Sandra,Wright,sandra.wright@gmail.com,1234567890,2023-12-01,2024-12-01,true
T306,Scott,Green,scott.green@gmail.com,1234567890,2023-12-01,2024-12-01,true
T307,Teresa,Adams,teresa.adams@gmail.com,1234567890,2023-12-01,2024-12-01,true
T308,Raymond,Baker,raymond.baker@gmail.com,1234567890,2023-12-01,2024-12-01,true
T309,Dorothy,Hill,dorothy.hill@gmail.com,1234567890,2023-12-01,2024-12-01,true
F401,Daniel,Scott,daniel.scott@gmail.com,1234567890,2023-12-01,2024-12-01,true
F402,Rachel,Rodriguez,rachel.rodriguez@gmail.com,1234567890,2023-12-01,2024-12-01,true
F403,Rebecca,Lewis,rebecca.lewis@gmail.com,1234567890,2023-12-01,2024-12-01,true
F404,Roger,Lee,roger.lee@gmail.com,1234567890,2023-12-01,2024-12-01,true
F405,Mary,Clark,mary.clark@gmail.com,1234567890,2023-12-01,2024-12-01,true
F406,Jennifer,Allen,jennifer.allen@gmail.com,1234567890,2023-12-01,2024-12-01,true
F407,Paul,Young,paul.young@gmail.com,1234567890,2023-12-01,2024-12-01,true
F408,Lisa,Hernandez,lisa.hernandez@gmail.com,1234567890,2023-12-01,2024-12-01,true
F409,Charles,King,charles.king@gmail.com,1234567890,2023-12-01,2024-12-01,true
F501,Margaret,Walker,margaret.walker@gmail.com,1234567890,2023-12-01,2024-12-01,true
F502,Elizabeth,Brown,elizabeth.brown@gmail.com,1234567890,2023-12-01,2024-12-01,true
